,number
0,0.14461602473455892
1,0.07751503129173953
2,0.15593297226701996
3,0.09720879582042008
4,0.32375017402684214
5,0.686823745565341
6,0.7068035159437503
7,0.9167216890721541
8,0.6352048775376901
9,0.17132904054220055
10,0.8159661332230377
11,0.16475992352396795
12,0.0409370627667629
13,0.16726651783050572
14,0.9709841404608549
15,0.7314646963631376
16,0.3426860074270154
17,0.03452867763070577
18,0.3574832521777054
19,0.5745017180628896
20,0.9464018964648249
21,0.17346442317598176
22,0.7981877585797893
23,0.7809787573425518
24,0.5238193208352585
25,0.7821735568253659
26,0.9934482007890996
27,0.4184423331593896
28,0.2599014381523176
29,0.79832254805514
30,0.6041862665264831
31,0.3819864440431342
32,0.8521701748665009
33,0.3126469510739037
34,0.573165703657289
35,0.6265563684951247
36,0.739416657331853
37,0.012060677103418738
38,0.9526287180476393
39,0.3919187115227588
40,0.2638910529614693
41,0.28055121530104343
42,0.5573435702875359
43,0.810470016341365
44,0.5595615325523974
45,0.408760756112558
46,0.8630495060594643
47,0.8614542990838314
48,0.8236790421079785
49,0.445107982060686
50,0.9240480240430241
51,0.17212099430841699
52,0.2821871607285322
53,0.37501938886942654
54,0.4401439635045862
55,0.1316322082815632
56,0.06144638522796442
57,0.9719025725097523
58,0.6437628611013991
59,0.18965508288943556
60,0.06647339880458658
61,0.9432875072199843
62,0.9635593500723799
63,0.8159138106628153
64,0.5268141359426226
65,0.8097577290919002
66,0.10832871122562193
67,0.513926863373751
68,0.5574679474011387
69,0.23117155673924017
70,0.7988683863124257
71,0.14232155967666804
72,0.4114506075996932
73,0.028703811806714996
74,0.15511224785648736
75,0.5179635133770123
76,0.6343922699321491
77,0.5442703351502044
78,0.2051777299642784
79,0.9514959457303863
80,0.8616963431169906
81,0.9260797192939593
82,0.6837050092238902
83,0.6341651538285088
84,0.47009701258761005
85,0.6290009641921982
86,0.9976095248457479
87,0.6766165875739423
88,0.34775785853790764
89,0.24721164403263118
90,0.7644613432516099
91,0.8578411267105046
92,0.02847593788616165
93,0.7352417508308864
94,0.6439666934556955
95,0.4145386388213331
96,0.9000774058908544
97,0.20984159212668807
98,0.5736834527493817
99,0.5731814122745401
100,0.39175113064248857
101,0.9414042225202869
102,0.35865018640717594
103,0.34942147114579614
104,0.6287322577319368
105,0.5640558939154473
106,0.9935619072485498
107,0.3230972874260011
108,0.30050448033239197
109,0.8535359869169682
110,0.8186071691655027
111,0.8507126794809163
112,0.11848293702439716
113,0.34039997170201786
114,0.24848934681272938
115,0.8713564278618446
116,0.7192981378269337
117,0.5612771185476495
118,0.3001718489057721
119,0.5582566234063182
120,0.20715922789136187
121,0.24718349962906172
122,0.9096809353144786
123,0.9496126251594162
124,0.19298962232482253
125,0.6823143045816399
126,0.2950869303839806
127,0.700872866143569
128,0.9246255564110638
129,0.3918411220739513
130,0.5046695500081352
131,0.40242035593564884
132,0.5348070625842399
133,0.6190144238291141
134,0.6527067332418969
135,0.7798534811708006
136,0.8371435153002993
137,0.7256654504898371
138,0.19486710733751433
139,0.17061227388763445
140,0.3866266766943538
141,0.9861342050546121
142,0.12499832976125236
143,0.4076100289319884
144,0.24405060656519562
145,0.24658924623282708
146,0.31303910086742404
147,0.13582549628998997
148,0.4267352707490074
149,0.6860815270131422
150,0.2632104445655937
151,0.7095899448677616
152,0.30697391312148903
153,0.15020764760355143
154,0.33008237434926957
155,0.24730791798017127
156,0.7732146302465086
157,0.3986960975344779
158,0.878302550945857
159,0.3073561016445441
160,0.21123045619113257
161,0.5806664509148879
162,0.8984369263318096
163,0.8363942698985983
164,0.2812623945509036
165,0.10724622968453401
166,0.5703943012638906
167,0.7309007201275504
168,0.6865969394598082
169,0.17355862259884247
170,0.41747139600619776
171,0.8046329781439144
172,0.29734663284924356
173,0.6874907011989809
174,0.27926268019676004
175,0.16857167772740067
176,0.808320103826969
177,0.22397888146185907
178,0.4961137292567884
179,0.39791460648438426
180,0.749624236829485
181,0.8166672255804612
182,0.5416591595071085
183,0.7784968348980786
184,0.5246274130247313
185,0.6165788811775392
186,0.18993747860389354
187,0.4375903866391334
188,0.8977799452863308
189,0.8974808404906014
190,0.7833353163003136
191,0.5735505446147654
192,0.8592478266591742
193,0.555628191461239
194,0.29218190018690193
195,0.6823254024415241
196,0.7253556992028032
197,0.6348979373592366
198,0.738955355288769
199,0.40548956817360793
200,0.9965074549246696
201,0.6680475408833246
202,0.4753087000915296
203,0.8154531729554498
204,0.39674071637462927
205,0.3465424212251109
206,0.3010873336265142
207,0.3453059844140016
208,0.3376649450698975
209,0.4520568726021712
210,0.7102711170123417
211,0.5676304992868505
212,0.246451823758292
213,0.3045971494873321
214,0.9191799326806603
215,0.09062317707388845
216,0.6456030768852257
217,0.8145182625891805
218,0.3502989381872097
219,0.5454669053640021
220,0.9229510982790893
221,0.5017605011244138
222,0.5814298938642755
223,0.212077064497179
224,0.9084673048697015
225,0.8420689009087419
226,0.09544595716628035
227,0.5428219386076877
228,0.334040059452826
229,0.5883742904617911
230,0.6681527250828868
231,0.920066967991107
232,0.6980014815164323
233,0.5140583511099508
234,0.574062901794968
235,0.8671650796521554
236,0.29309281744572635
237,0.6255644089859125
238,0.41377688075614283
239,0.6541722779053092
240,0.7022455597573617
241,0.7027961835253476
242,0.32866027307469425
243,0.9438823677034145
244,0.6392304917718383
245,0.35610068008813955
246,0.5109988272940061
247,0.7549785046509206
248,0.911498498846909
249,0.7269132750864981
250,0.43346849143235944
251,0.9613052659398792
252,0.06410207161162618
253,0.7224542800953787
254,0.8605028822342475
255,0.9379303538857604
256,0.11890111097053702
257,0.06560232272410749
258,0.9815175258058294
259,0.5816233574934034
260,0.3223771211316614
261,0.010794999021216611
262,0.48232848210912416
263,0.6888091652734284
264,0.7510123953710294
265,0.3931342633771988
266,0.4285185942589612
267,0.028804295777431044
268,0.7471054611787746
269,0.5188475627728396
270,0.3699806335289325
271,0.6733240981418717
272,0.455659972278607
273,0.8865920570538507
274,0.9773310825483524
275,0.9114683092627319
276,0.7234740743957591
277,0.47378640650570536
278,0.9044322182580692
279,0.6490971485609244
280,0.9325706015784121
281,0.15806103989245135
282,0.20431604755502109
283,0.9516960107212825
284,0.17933034496530176
285,0.10632943259433447
286,0.20529052976827733
287,0.26644977396966907
288,0.990842732357776
289,0.6626056375310618
290,0.8934023242009224
291,0.6087787761836707
292,0.6622123753279109
293,0.2795715500728444
294,0.7356211918792761
295,0.023450952083761578
296,0.29930766895885463
297,0.9605253146799532
298,0.4773205356946918
299,0.896685482640458
300,0.20788119046629716
301,0.21907107928738412
302,0.3417751133430835
303,0.8785812995819484
304,0.7629857606713326
305,0.10409839946928867
306,0.5375122454578438
307,0.12610808266796247
308,0.9207106566062669
309,0.6614470367535862
310,0.6646296886200127
311,0.02517423927343887
312,0.5355435671395777
313,0.9639505712726043
314,0.8427700240424094
315,0.5173256280251634
316,0.6809361625916177
317,0.25269387981635383
318,7.39014254360626e-05
319,0.6832379417409375
320,0.3814705574477538
321,0.2953366513034189
322,0.8601629667491553
323,0.4116625534183441
324,0.20248827761656263
325,0.0950677170887495
326,0.37432668808858527
327,0.5002586204770462
328,0.5903766299860601
329,0.4069147751233232
330,0.46587616114566655
331,0.20767274566478722
332,0.4405095567714371
333,0.7561490702983013
334,0.9691510044256642
335,0.9835349892112961
336,0.08167974686852508
337,0.011831197129136273
338,0.2533369151703784
339,0.7258386397040382
340,0.1533224004672512
341,0.16976063838308353
342,0.3535761067133554
343,0.9558080514913609
344,0.34787269425215606
345,0.6384858181781367
346,0.19142808499268715
347,0.3723886499126876
348,0.4610104267479409
349,0.7386414627232165
350,0.5547224736511918
351,0.07560627992824742
352,0.38543929036328295
353,0.023870001618478964
354,0.08490118558975879
355,0.9523181200843006
356,0.835121255953561
357,0.8313253101018512
358,0.4477164423027221
359,0.427173224834863
360,0.2607502696316568
361,0.6518880149684392
362,0.989596091701078
363,0.4737188317675711
364,0.951663574431818
365,0.6389835611029937
366,0.4255250760028354
367,0.36494823219306194
368,0.10394871793754767
369,0.08787887115953141
370,0.05185866702404662
371,0.5729228447658512
372,0.3557153056497062
373,0.14169200930635462
374,0.6026259214704931
375,0.6780938325392907
376,0.0019220493053816456
377,0.14423401505903843
378,0.31021740847078616
379,0.26542859991807166
380,0.05293698137098246
381,0.5447383348415423
382,0.19410883367100906
383,0.2759766462115508
384,0.6085305795585376
385,0.19018564330800136
386,0.6001023952936514
387,0.5500869240450543
388,0.308558554189692
389,0.613015054522192
390,0.5053671279653127
391,0.8033565610860482
392,0.3190316438196028
393,0.8430688477494918
394,0.3907441626865247
395,0.3749010705929905
396,0.20374147066354986
397,0.4445572005828903
398,0.4325615226381033
399,0.747347832034453
400,0.1408237945119577
401,0.5629196065967164
402,0.8883715667513505
403,0.7262344816634011
404,0.1015240156369166
405,0.6274596622730756
406,0.6724938834493908
407,0.45890555605876826
408,0.253862163313197
409,0.20213399227024142
410,0.9431472444002996
411,0.4412716272261822
412,0.6778537756613036
413,0.5609208700560778
414,0.7852790417028147
415,0.8301487622409094
416,0.0695242591856422
417,0.5342345164968271
418,0.020198821857018268
419,0.11932836566667071
420,0.7351542137502673
421,0.879354084852934
422,0.060390921051916124
423,0.3517659280158124
424,0.25831407832342757
425,0.25041309629182773
426,0.6324032934179679
427,0.6905116746744266
428,0.038781141504878325
429,0.11872222658971077
430,0.3402172182577837
431,0.1117834948318035
432,0.8974663997148172
433,0.7721061886641211
434,0.467763325594456
435,0.45960484726135
436,0.11940893902740168
437,0.8892320824757846
438,0.056170722740824464
439,0.8348974660229447
440,0.8328276290445746
441,0.015421942378315512
442,0.6078039146470725
443,0.9797170916017848
444,0.817871594488278
445,0.4281570072853328
446,0.9826586617461194
447,0.5714323337805088
448,0.5655480118995616
449,0.13163751508874266
450,0.5727166298844355
451,0.3876989055629705
452,0.24625748760449773
453,0.062376725489559304
454,0.1868295868142189
455,0.07519337399332371
456,0.8615125038568271
457,0.0430765434686432
458,0.7784279481001283
459,0.1559200654309939
460,0.28457480300272475
461,0.4833371043049315
462,0.21688560355701902
463,0.051055375260327884
464,0.8764119752087609
465,0.03830180552041673
466,0.899276170682331
467,0.5326669068942715
468,0.7966592760107886
469,0.5977938689767619
470,0.35735055753216216
471,0.7502306585594846
472,0.27262195939610845
473,0.3367003915054816
474,0.3718378858875636
475,0.7252726856566986
476,0.6108078470654391
477,0.160140124957443
478,0.640641195165919
479,0.819043970313203
480,0.9460930077740923
481,0.3955113176387407
482,0.08228064172201954
483,0.5692148152461914
484,0.9379027430417781
485,0.7262721958954546
486,0.9974714724600596
487,0.9816411645054782
488,0.02801478549452141
489,0.35876394018958924
490,0.46224300725504386
491,0.07977812492324099
492,0.7825821331768681
493,0.7728747320072956
494,0.18411522733742114
495,0.9349933626453013
496,0.3305156463539396
497,0.05247324921620988
498,0.3784435570491954
499,0.8296025413407634
500,0.44108727645927825
501,0.2993358032378495
502,0.8631126359025391
503,0.250262827945147
504,0.09566738091105942
505,0.7130474946994906
506,0.2235781443128807
507,0.7026149405611689
508,0.7224945548679957
509,0.6170012611217315
510,0.20186432914831431
511,0.7852714452298651
512,0.8903242744728199
513,0.1399056906045737
514,0.17026945833848617
515,0.514586763470415
516,0.9736100357614889
517,0.7746591507784915
518,0.29437001890274195
519,0.8027253084378705
520,0.08386991518130038
521,0.09136100092018629
522,0.8983567502463687
523,0.8868693311046169
524,0.533466309836137
525,0.42900189716927073
526,0.1821870276409372
527,0.4315150943786541
528,0.47383956070476785
529,0.42647315825719867
530,0.20889106515275513
531,0.15615589390655582
532,0.7683598815481214
533,0.8407774935346721
534,0.4599058924434972
535,0.20858605861422153
536,0.25419023941340724
537,0.03537597137641857
538,0.5037011171417803
539,0.319855948227728
540,0.6143932185624659
541,0.11338109816795006
542,0.6071773224023549
543,0.6320103598568474
544,0.17739418618305125
545,0.9193076779462215
546,0.539317629461803
547,0.361121293498606
548,0.8225521587592494
549,0.037067189096233966
550,0.7644376889628157
551,0.9614375433647248
552,0.26247829558958613
553,0.04497704041286332
554,0.49347237237561237
555,0.10135820428850206
556,0.9054759324635467
557,0.3912479745377101
558,0.16984308812935767
559,0.3130327921420567
560,0.2845393861009978
561,0.7216547111114262
562,0.6129838442158642
563,0.6128072542663652
564,0.5153838338789999
565,0.7131085367862817
566,0.8713477772442941
567,0.9419360672901563
568,0.9061770339937525
569,0.9973713503589123
570,0.6511737928834931
571,0.0980714039543844
572,0.12371358453480508
573,0.5817580949438432
574,0.3878197750090975
575,0.3836838844640248
576,0.3330772932400339
577,0.8937920239990277
578,0.42660379831271933
579,0.09749777821209016
580,0.03273234283716975
581,0.5822939987582022
582,0.2818759219290342
583,0.9973773382690185
584,0.3485811650096795
585,0.38385951065171464
586,0.14314846321555819
587,0.41168484188278187
588,0.5560325831949468
589,0.6786651527115524
590,0.27941662328630534
591,0.12758615070559087
592,0.8706880276786881
593,0.42247163006009736
594,0.8747921784321767
595,0.9819789489386005
596,0.53212913612486
597,0.6820548577830702
598,0.14172556124342628
599,0.8954903213991394
600,0.8877895505948118
601,0.2899734461911796
602,0.39888758518426926
603,0.5085270928974726
604,0.5397323464650328
605,0.5355595876880633
606,0.6680045600991499
607,0.07890855054344348
608,0.36522753036507116
609,0.7525828516063231
610,0.8155334605307646
611,0.948872329161571
612,0.10085424156574552
613,0.3063104444859259
614,0.012248867459916157
615,0.8332405266792986
616,0.4477328006875678
617,0.7381760858313725
618,0.5381307278002123
619,0.64442652761133
620,0.407653279216153
621,0.988120343671508
622,0.349242158981631
623,0.11439639275168989
624,0.773600974105568
625,0.3422508667504136
626,0.35092901992304426
627,0.6998555631853256
628,0.5351463864628954
629,0.6941915466139217
630,0.27550090759498
631,0.03955870654832727
632,0.9737612333749457
633,0.85659566451438
634,0.318016024519294
635,0.07264967870375483
636,0.6266672136646679
637,0.5427530067840908
638,0.08013357115177333
639,0.27865447324993387
640,0.8204327600278204
641,0.6472338718548233
642,0.8981066937808309
643,0.9904134149156683
644,0.7570648348954108
645,0.04820939759809295
646,0.49659488586991385
647,0.2681871451946377
648,0.05376519761698151
649,0.1536101940376925
650,0.2458849441738461
651,0.19991898782481343
652,0.49815295225863154
653,0.7475145062482099
654,0.5814474904248211
655,0.9103815228294841
656,0.8091439841662771
657,0.044556478634595
658,0.06582839484468272
659,0.8723124347377673
660,0.761407419742959
661,0.6295611439582762
662,0.5602756647971817
663,0.028833108636930782
664,0.6925154173449602
665,0.30781547100300766
666,0.9456746547718861
667,0.7733519530494579
668,0.07325928323474962
669,0.06051359621130603
670,0.7684091239449635
671,0.0772898478864189
672,0.4652145959688888
673,0.4373876627767307
674,0.6267684478070814
675,0.7183418633741062
676,0.28256468766217413
677,0.5073826011665699
678,0.31820311938601464
679,0.4089168748142118
680,0.29885921770184043
681,0.03372851278925548
